project,required,dep
pandas-gbq,True,google-auth
pandas-gbq,True,google-auth-oauthlib
pandas-gbq,True,"google-cloud-bigquery[bqstorage,pandas]"
pandas-gbq,False,tqdm
tfx-bsl,True,absl-py
tfx-bsl,True,apache-beam[gcp]
tfx-bsl,True,google-api-python-client
tfx-bsl,True,numpy
tfx-bsl,True,pandas
tfx-bsl,True,protobuf
tfx-bsl,True,pyarrow
tfx-bsl,True,tensorflow
tfx-bsl,True,tensorflow-metadata
tfx-bsl,True,tensorflow-serving-api
h5py,True,cached-property
h5py,True,numpy
azure-devops,True,msrest
gitdb,True,smmap
pymongo,False,pymongo-auth-aws
pymongo,False,pymongocrypt
pymongo,False,pykerberos
pymongo,False,pyopenssl
pymongo,False,requests
pymongo,False,service-identity
pymongo,False,python-snappy
pymongo,False,dnspython
pymongo,False,ipaddress
pymongo,False,zstandard
rfc3986,False,idna
importlib-resources,True,zipp
importlib-resources,False,sphinx
importlib-resources,False,jaraco.packaging
importlib-resources,False,rst.linker
importlib-resources,False,pytest
importlib-resources,False,pytest-checkdocs
importlib-resources,False,pytest-flake8
importlib-resources,False,pytest-cov
importlib-resources,False,pytest-enabler
importlib-resources,False,pytest-black
importlib-resources,False,pytest-mypy
google-crc32c,True,cffi
google-crc32c,False,pytest
networkx,True,decorator
networkx,False,numpy
networkx,False,scipy
networkx,False,pandas
networkx,False,matplotlib
networkx,False,pygraphviz
networkx,False,pydot
networkx,False,pyyaml
networkx,False,lxml
networkx,False,pytest
networkx,False,gdal
xlrd,False,wheel
xlrd,False,twine
xlrd,False,sphinx
xlrd,False,pytest
xlrd,False,pytest-cov
tensorflow-data-validation,True,absl-py
tensorflow-data-validation,True,apache-beam[gcp]
tensorflow-data-validation,True,joblib
tensorflow-data-validation,True,numpy
tensorflow-data-validation,True,pandas
tensorflow-data-validation,True,protobuf
tensorflow-data-validation,True,pyarrow
tensorflow-data-validation,True,six
tensorflow-data-validation,True,tensorflow
tensorflow-data-validation,True,tensorflow-metadata
tensorflow-data-validation,True,tfx-bsl
tensorflow-data-validation,False,scikit-learn
tensorflow-data-validation,False,ipython
gcsfs,True,google-auth
gcsfs,True,google-auth-oauthlib
gcsfs,True,requests
gcsfs,True,decorator
gcsfs,True,fsspec
gcsfs,True,aiohttp
gcsfs,False,crcmod
gcsfs,False,fusepy
tensorflow-model-analysis,True,scipy
tensorflow-model-analysis,True,absl-py
tensorflow-model-analysis,True,apache-beam[gcp]
tensorflow-model-analysis,True,ipython
tensorflow-model-analysis,True,ipywidgets
tensorflow-model-analysis,True,numpy
tensorflow-model-analysis,True,pandas
tensorflow-model-analysis,True,protobuf
tensorflow-model-analysis,True,pyarrow
tensorflow-model-analysis,True,six
tensorflow-model-analysis,True,tensorflow
tensorflow-model-analysis,True,tensorflow-metadata
tensorflow-model-analysis,True,tfx-bsl
tensorflow-model-analysis,False,tensorflowjs
pytest-cov,True,pytest
pytest-cov,True,coverage[toml]
pytest-cov,False,fields
pytest-cov,False,hunter
pytest-cov,False,process-tests
pytest-cov,False,six
pytest-cov,False,pytest-xdist
pytest-cov,False,virtualenv
elasticsearch,True,urllib3
elasticsearch,True,certifi
elasticsearch,False,aiohttp
elasticsearch,False,requests
elasticsearch,False,coverage
elasticsearch,False,mock
