pkg,date,downloads
mktestdocs,2021-04-05,10
scikit-lego,2021-04-05,235
tokenwiser,2021-04-05,34
whatlies,2021-04-05,109
clumper,2021-04-06,50
drawdata,2021-04-06,23
human-learn,2021-04-06,29
memo,2021-04-06,7
mktestdocs,2021-04-06,7
scikit-lego,2021-04-06,183
tokenwiser,2021-04-06,36
whatlies,2021-04-06,11
clumper,2021-04-07,36
drawdata,2021-04-07,7
human-learn,2021-04-07,22
memo,2021-04-07,4
mktestdocs,2021-04-07,5
scikit-lego,2021-04-07,240
tokenwiser,2021-04-07,22
whatlies,2021-04-07,190
clumper,2021-04-08,12
drawdata,2021-04-08,7
human-learn,2021-04-08,14
memo,2021-04-08,13
mktestdocs,2021-04-08,7
scikit-lego,2021-04-08,168
tokenwiser,2021-04-08,37
whatlies,2021-04-08,164
clumper,2021-04-09,26
drawdata,2021-04-09,16
human-learn,2021-04-09,31
memo,2021-04-09,5
mktestdocs,2021-04-09,11
scikit-lego,2021-04-09,111
tokenwiser,2021-04-09,16
whatlies,2021-04-09,118
clumper,2021-04-10,93
drawdata,2021-04-10,10
human-learn,2021-04-10,16
memo,2021-04-10,18
mktestdocs,2021-04-10,11
scikit-lego,2021-04-10,43
tokenwiser,2021-04-10,9
whatlies,2021-04-10,16
clumper,2021-04-11,42
drawdata,2021-04-11,113
human-learn,2021-04-11,43
memo,2021-04-11,5
mktestdocs,2021-04-11,10
scikit-lego,2021-04-11,39
tokenwiser,2021-04-11,16
whatlies,2021-04-11,14
clumper,2021-04-12,53
drawdata,2021-04-12,96
human-learn,2021-04-12,26
memo,2021-04-12,10
mktestdocs,2021-04-12,7
scikit-lego,2021-04-12,183
tokenwiser,2021-04-12,13
whatlies,2021-04-12,44
clumper,2021-04-13,66
drawdata,2021-04-13,36
human-learn,2021-04-13,9
memo,2021-04-13,20
mktestdocs,2021-04-13,10
scikit-lego,2021-04-13,345
tokenwiser,2021-04-13,16
whatlies,2021-04-13,186
clumper,2021-04-14,85
drawdata,2021-04-14,42
human-learn,2021-04-14,31
memo,2021-04-14,10
mktestdocs,2021-04-14,4
scikit-lego,2021-04-14,196
tokenwiser,2021-04-14,28
whatlies,2021-04-14,18
clumper,2021-04-15,22
drawdata,2021-04-15,12
human-learn,2021-04-15,39
memo,2021-04-15,20
mktestdocs,2021-04-15,24
scikit-lego,2021-04-15,103
tokenwiser,2021-04-15,8
whatlies,2021-04-15,99
clumper,2021-04-16,35
drawdata,2021-04-16,17
human-learn,2021-04-16,55
memo,2021-04-16,27
mktestdocs,2021-04-16,18
scikit-lego,2021-04-16,229
tokenwiser,2021-04-16,24
whatlies,2021-04-16,119
clumper,2021-04-17,34
drawdata,2021-04-17,57
human-learn,2021-04-17,5
memo,2021-04-17,3
mktestdocs,2021-04-17,4
scikit-lego,2021-04-17,51
tokenwiser,2021-04-17,23
whatlies,2021-04-17,213
clumper,2021-04-18,63
drawdata,2021-04-18,54
human-learn,2021-04-18,3
memo,2021-04-18,4
mktestdocs,2021-04-18,4
scikit-lego,2021-04-18,117
tokenwiser,2021-04-18,37
whatlies,2021-04-18,66
clumper,2021-04-19,33
drawdata,2021-04-19,57
human-learn,2021-04-19,6
memo,2021-04-19,12
mktestdocs,2021-04-19,3
scikit-lego,2021-04-19,137
tokenwiser,2021-04-19,14
whatlies,2021-04-19,101
clumper,2021-04-20,62
drawdata,2021-04-20,28
human-learn,2021-04-20,24
memo,2021-04-20,22
mktestdocs,2021-04-20,10
scikit-lego,2021-04-20,161
tokenwiser,2021-04-20,27
whatlies,2021-04-20,23
clumper,2021-04-21,75
drawdata,2021-04-21,22
human-learn,2021-04-21,19
memo,2021-04-21,22
mktestdocs,2021-04-21,11
scikit-lego,2021-04-21,307
tokenwiser,2021-04-21,52
whatlies,2021-04-21,28
clumper,2021-04-22,43
drawdata,2021-04-22,43
human-learn,2021-04-22,43
memo,2021-04-22,13
mktestdocs,2021-04-22,9
scikit-lego,2021-04-22,70
tokenwiser,2021-04-22,21
whatlies,2021-04-22,93
clumper,2021-04-23,74
drawdata,2021-04-23,45
human-learn,2021-04-23,62
